1		0		0		0	0		6.046	0
0.738684	0.0730995	0.156509	0	0.0284666	6.06468	0
0.685563	0.0734546	0.206818	0	0.033313	5.99748	0
0.641774	0.0741996	0.245269	0	0.0377506	5.93640	0
0.604384	0.0745612	0.274199	0	0.0433747	5.87520	0
0.571352	0.0743097	0.299955	0	0.0506554	5.83018	0
0.540855	0.0752786	0.322035	0	0.0571381	5.79182	0
0.515964	0.075906	0.338537	0	0.0642763	5.76332	0
0.493327	0.0761534	0.352189	0	0.0720263	5.73575	0
0.471692	0.0749699	0.367391	0	0.0787188	5.70024	0
0.449199	0.07515		0.380052	0	0.0886498	5.6817	0
0.221015	0.0774189	0.550101	0	0.151465	5.452	0
0.205874	0.078548	0.550945	0	0.164633	5.4549	0
0.191089	0.079665	0.551858	0	0.177388	5.4578	0
0.176811	0.0807929	0.552728	0	0.189667	5.4607	0
0.163171	0.0819518	0.553466	0	0.201411	5.4640	0
0.150153	0.0831309	0.554174	0	0.212542	5.4674	0
0.137679	0.0843006	0.555062	0	0.222958	5.4706	0
0.125687	0.0854302	0.556337	0	0.232546	5.4729	0
0.114177	0.0865086	0.558091	0	0.241223	5.4743	0
0.103202	0.0875487	0.560291	0	0.248957	5.4747	0
0.132663	0.126633	0.621106	0.0824121	0.0371859	5.44694	0
0.00949658	0.102114	0.725008	0.0510569	0.112325	5.20936	0
