0.5113 	0.0767 	0.3445 	0.0675 	5.8231 550
0.5279 	0.0766 	0.3326 	0.0629 	5.8397 550
0.5418 	0.0764 	0.3219 	0.0599 	5.8558 550
0.5553	0.0762 	0.3113 	0.0572 	5.8732 550
0.5699 	0.0760 	0.2992 	0.0549 	5.9105 550
0.5849 	0.0758 	0.2878 	0.0515 	5.9161 550
0.6033 	0.0757 	0.2744 	0.0466 	5.9411 550
0.6304 	0.0754 	0.2525 	0.0417 	6.0094 550
