0.538	0.078	0.328	0.056	5.7485	15
0.606	0.074	0.277	0.043	5.8401	18
0.607	0.074	0.277	0.042	5.6962	18
0.603	0.076	0.276	0.045	5.8976	18
0.606	0.074	0.277	0.043	6.0410	18
0.557	0.076	0.313	0.054	5.8807	25
0.606	0.074	0.274	0.046	5.8320	18
0.538	0.078	0.328	0.056	5.7731	15
0.538	0.078	0.328	0.056	5.8101	40
0.538	0.078	0.328	0.056	5.3476	95
0.619	0.067	0.272	0.042	5.9858	37.9
0.584	0.068	0.298	0.050	6.0885	45.9
0.543	0.070	0.329	0.058	5.6153	64.7
1.0	0.0	0.0	0.0	5.2985	8.76
1.0	0.0	0.0	0.0	6.1883	32.8
1.0	0.0	0.0	0.0	6.3020	92.3
1.0	0.0	0.0	0.0	6.2618	57
1.0	0.0	0.0	0.0	6.3287	34
1.0	0.0	0.0	0.0	6.2953	18.2
1.0	0.0	0.0	0.0	6.7301	23.8
0.926	0.061	0.008	0.005	6.9727	7.2
0.496	0.087	0.351	0.066	6.1148	1000
0.600	0.070	0.270	0.060	6.2520	800
0.561	0.076	0.307	0.056	5.9111	550
0.573	0.073	0.299	0.055	5.8386	410
0.520	0.087	0.333	0.060	5.7083	415
