0.5113	0.0767	0.3445	0.0675	5.8499 550
0.5279	0.0766	0.3326	0.0629	5.8666 550
0.5418	0.0764	0.3219	0.0599	5.8828 550
0.5553	0.0762	0.3113	0.0572	5.9003 550
0.5699	0.0760	0.2992	0.0549	5.9378 550
0.5849	0.0758	0.2878	0.0515	5.9434 550
0.6033	0.0757	0.2744	0.0466	5.9685 550
0.6304	0.0754	0.2525	0.0417	6.0371 550
0.527	0.073	0.334	0.066	5.758329 294
0.546	0.073	0.320	0.061	5.819087 294 
0.557	0.073	0.311	0.058	5.824398 294
0.568	0.073	0.303	0.056	5.816523 294
0.579	0.073	0.295	0.053	5.864046 294
0.588	0.073	0.287	0.052	5.873050 294
0.599	0.073	0.278	0.050	5.891974 294
0.620	0.073	0.262	0.045	5.897774 294
