0.538	0.078	0.328	0.056	5.7485	15	3
0.606	0.074	0.277	0.043	5.8401	18	3
0.607	0.074	0.277	0.042	5.6962	18	3
0.603	0.076	0.276	0.045	5.8976	18	3
0.606	0.074	0.277	0.043	6.041	18	3
0.557	0.076	0.313	0.054	5.8807	25	3
0.606	0.074	0.274	0.046	5.832	18	3.5
0.538	0.078	0.328	0.056	5.7731	15	3.5
0.538	0.078	0.328	0.056	5.8101	40	3.5
0.538	0.078	0.328	0.056	5.3476	95	3.5
0.619	0.067	0.272	0.042	5.9858	37.9	3.5
0.584	0.068	0.298	0.05	6.0885	45.9	3.5
0.543	0.07	0.329	0.058	5.6153	64.7	0.5
1	0	0	0	5.2985	8.76	2
1	0	0	0	6.1883	32.8	2
1	0	0	0	6.302	92.3	2
1	0	0	0	6.2618	57	2
1	0	0	0	6.3287	34	1
1	0	0	0	6.2953	18.2	1
1	0	0	0	6.7301	23.8	0.57
0.926	0.061	0.008	0.005	6.9727	7.2	3.5
0.496	0.087	0.351	0.066	6.1148	1000	3.5
0.6	0.07	0.27	0.06	6.252	800	3.5
0.561	0.076	0.307	0.056	5.9111	550	3.5
0.573	0.073	0.299	0.055	5.8386	410	3.5
0.52	0.087	0.333	0.06	5.7083	415	3.5
