1.22194e-04     0.00    0.00    0.00    0.00    0.00    0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    1.37250e-04     0.00    0.00    0.00    0.00    0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    1.34720e-04     0.00    0.00    0.00    0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    0.00    1.37941e-04     0.00    0.00    0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    0.00    0.00    1.14371e-04     0.00    0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    0.00    0.00    0.00    1.11920e-04     0.00   	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    0.00    0.00    0.00    0.00    1.10214e-04    	0.00 0  0   0   0   0   0   0   0   0   0   0
0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.97431e-04		0.00 0  0   0   0   0   0   0   0   0   0   0
0       0       0       0       0       0       0       0       0.0001523	0	0	0	0	0	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0.000275729	0	0	0	0	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0.000269671	0	0	0	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0.000264188	0	0	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0.000258769	0	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0.000254818	0	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0	0.000251476	0	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0	0	0.000249007	0	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0	0	0	0.000246631	0	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0	0	0	0	0.000243586	0	
0       0       0       0       0       0       0       0       0	0	0	0	0	0	0	0	0	0	0.000242001	
